business_id,avg_rating,no_of_words,no_of_reviews,unique_no_of_food_entities,no_of_food_entities
Rg4dHuszzF0Mb4yqtoHSiA,4.0,4127,58,218,850
Q0070Z9KMleHbc-uI1e5MQ,4.0,4391,45,183,709
MPmSoEd46WXqhN-5rw7Yqw,3.0,2656,19,178,583
InsT_8VUeBpLGupKuQAlQg,4.0,2058,23,129,385
j21mWhjiqkPnb0RWg449aQ,4.0,None,None,None,None
a1t31qMLd5fQocEjbSJ61A,2.0,22111,233,614,4489
TuuENwzxOFdDLY_oKCbFZw,4.5,17807,163,549,3350
IoWXpj8WFNNu47rKpPb-Og,3.5,3899,53,158,653
LwSNsn2k6v_Nb2dbhP3qsQ,3.0,2205,16,163,413
MhkZLdUFaHt5SDcQcqOWQg,3.5,11816,119,341,2256
SvoJ3Y3uqDfB4iGUaWXh8Q,3.0,2349,29,115,442
zmvIqh26-lzpZROHuhA-6w,4.0,11735,112,373,2296
KKucN3P6aH84MCfPr56a8g,4.5,118793,576,2583,24527
M75Mj9JwbL_2dDsyXQiUSw,2.5,10195,74,309,1385
stPGLQ8-zTCnAWcp-PgBGA,4.5,2628,27,113,375
dF-u2E0ZFAZMlAlsTjHz2A,3.0,4104,27,235,779
nV79jhp3QzgSwV49bRTxiA,3.5,205,7,12,18
W4cHF12due10J7xevvjvPw,3.0,4678,56,221,863
NHy-HT-FI305jqgyeIWPCQ,3.5,7066,56,176,800
wFN75sAjpPpYnf0De8QssA,3.0,21176,160,642,3833
0SgsUyw0sQSpt6CSI73r6Q,3.0,None,None,None,None
rB6IWv6mW2IVjvgfvNGdHg,3.5,13275,92,417,2621
lb3bbj4tO0JWwXDqR9rMFA,2.0,835,6,35,119
IheYoy35P3l11BQ1pNA9pg,4.0,837,7,76,182
mSbFLlDB5Qu-6al1e2DSBw,4.5,8008,90,269,1642
FucrEEO2laIlAnIZ_n6cTA,2.0,603,5,38,93
8vX5suuqyXoCqbhG8BZwgg,3.0,368,2,23,46
BXsEDghPAyCuvG5bbNYU2Q,3.0,3046,22,185,656
wr3bTAXlo6aB5LIbIx6ueQ,4.0,19250,141,573,3695
dfkmSx2CkO_ORwujV5p5Ag,4.0,1490,18,92,255
_QP-vfoxfFvKMdArsoQ3Bw,3.5,1950,15,179,360
2hM--u1QSxnJsdsExT42Lw,4.0,562,5,24,44
xtuiOHwL5HmVINb9XZvc9g,5.0,1085,4,68,185
wZzUPdHpG2PM09evT72RMw,4.0,1255,10,96,242
b9WZJp5L1RZr4F1nxclOoQ,4.5,3715,34,183,681
oZsWYLfvLBJoonvxObDWtw,2.5,3856,38,177,725
_Ck4AAtkBLsDL9Qcbo9h1Q,4.5,942,10,71,200
VnR-KYOHlQX-aFMkaY686Q,3.5,8667,72,347,1708
BH4ky1-owYRtIKRZ0bw9Rw,4.0,7019,66,331,1485
4X_XAOeMw7AFkYhg3NINJA,4.0,44155,462,737,8195
d24w8_TEu1QamA3qFI5JMw,2.5,699,8,55,110
45Vj6a0LX4B2a7loTJyb4g,4.0,1266,7,84,193
fpCXESND4gzshjyfQgwuuQ,4.0,2299,16,212,463
QzC9ePNTrJ5QQwehsmMAWA,3.0,6881,63,219,1133
i7HvZ1yTTIaR6bfa_3jGEw,1.0,311,4,23,47
9DsXB8T3UwBYiLPiLJJuNQ,3.5,5968,54,189,719
rUQfZOengMpXFkLvJrNJ3g,4.5,3365,18,190,636
zFbQ-8AvAIM1tQoqIh_sew,2.5,710,8,43,122
oU968d4WjL0dgk_8qq5BXw,3.0,916,7,53,162
0lQDOFqEVB1LQhkS2kN1RA,3.5,2052,19,124,392
gXkv-2CPQFs1iggbftTl_g,3.0,6409,47,195,871
kx0P3BmdL7GUxjsGQnm7pg,3.5,287,5,43,68
S2x-rEziU3ONR9zO_vpPxA,3.0,560,12,44,108
ECWSOvqjPP8IVuTs_BM8bQ,2.5,385,4,54,109
PF_L0dY7Ad76BleQ6Hc7Qg,3.0,1747,11,118,352
hlME5-P2CudNDCUSIX2cxQ,3.5,1632,17,107,308
O6fEzyH0fRP7r8IbSnCgoA,4.5,1217,14,85,233
I34mPToWNbOedyvIyZ5imQ,1.5,466,5,24,65
VZ3A1pVQFwzNGnsNEz3FiQ,3.0,1764,13,121,362
ZF58mOM_ACiIhmwr8s_G1w,4.0,3684,32,186,597
tC04i64a3nKCcvrnDpbT3A,4.0,2356,35,119,439
aTMDGTQpHVzUY2VxBy4i8A,3.5,5223,35,314,965
2unQHR9uaRxk3dsW6f3MGA,3.0,6642,42,367,1507
JGmh01QWBJ6aOHB_TAMp1Q,4.5,278,5,38,49
usjNCe_fdI4CbKbZCOKy8w,4.0,7009,64,292,1356
mv1gFZ8FYsFIOTENKhXddw,3.5,735,6,48,96
s_w8ohbsVOevvnis4OZojw,1.5,1686,14,111,309
JU-y40a_2XjhBe_G5jnSAg,3.0,251,3,9,16
1vQLTKwmcmZXtNzfKEvMmA,3.5,5197,30,136,717
IgzJjFDZX4h71wG-fAVg7A,3.0,623,9,137,169
fphcaoXU9ywS5t3zEqYyvA,3.0,8790,81,425,1818
xWnS17JRqB2Cjdgfncnnng,4.5,18495,208,366,3205
x-S7Nooy3jiKChpR00mVWw,3.5,5000,34,213,859
2bFrNEhlNjFA7aqJyYBXmw,3.5,3214,28,198,620
JJGBx48I4yudiEhw9fGbZw,3.0,435,5,36,79
vFOgPc3Ib5wzejPhGqxM4Q,4.0,4442,35,140,520
ZWuO-YghNqtcAO7Ar-MFEg,2.5,534,9,49,100
VToMv6ukjQv3KMOXAO30TQ,3.5,894,14,74,166
_ql42UadWUh9SgU09_c2mQ,3.5,5330,58,215,936
95sQlDylaJ21U6iEl_MEXQ,3.0,1302,13,93,249
Y3a3RkR97J_ReiKgiMXeJg,3.0,6325,50,371,1271
WCorga9tk_SayxbZbP7Hvg,3.0,572,5,34,85
vAlOW7SPS1ZFkDHec-w_VA,2.0,207,3,29,48
WvZU5CF7jnBfsS5ah6sp1Q,3.0,309,5,76,92
qmbHSjielEKCiVilOarRmw,3.0,853,5,67,182
-r5aq7vjN6lMFDZ4XYErkQ,4.0,1348,13,64,192
DnZkFbDjnts5ABUUA9QuVg,3.5,4628,41,194,990
bxF5KhZbBhVk3usx58FgVg,2.5,779,12,58,137
6Gy2p4w5Vo9ECuzappvd0Q,4.5,307,3,28,49
orRtROuWoOZWKdfgzgFXJA,4.5,116,1,15,21
VYCbveCk-j4UR_aSTuASJA,3.5,4835,36,259,851
4pBklPWQZSeuj5xynAEOYg,2.5,631,5,33,92
qC6ZqST6Q58qXHsDAjM_5w,4.0,1144,6,58,114
e5ri6gZgqYNe37uXGtmetg,4.5,1233,8,102,239
E0Gi93pSbrJVnQcV8JE8RQ,3.5,496,5,35,76
hcFlvyDQq-1izciN8bxCQA,2.5,195,4,26,45
xWUQak48XdNZ4ZlkaI4zng,4.0,6519,61,400,1449
a7A0IT_RrdIL6K1l-76-Cg,4.0,1560,10,171,425
fQ1h3WSy3kKAsM7NKtFnnQ,4.0,3457,19,238,750
l184ekbNhRbhoG-yuCgSAA,4.0,1172,9,127,266
wWvInCI38F80lqLvnW26hg,4.0,2411,40,153,544
guD6--j7BIeqcFW_IUFbgw,4.0,5756,72,207,994
RQ5Fe5XMJokYJaBkP-i4jA,3.5,1306,11,78,199
G1z1baf8WcWfj21fsJo8vg,2.5,221,3,27,41
YbqNbrnOEk2T0qIBbTivuQ,4.0,4328,45,239,905
pNNiVpYRjGOldveDMVrXMQ,3.0,3202,28,125,493
tDbXsDOecrv46J7YR2-FNw,2.5,413,5,35,86
5hSOoDzMy-N5mQ3l9AbKvw,4.5,138,3,20,34
syfCpXqRXeL4tyokKx6JJw,4.0,5802,59,248,988
eHD1iu4B5yd_wj_uiSapzQ,3.5,13176,107,325,2292
_EUbTaB4OUWoIcC6wc8_8g,3.5,856,9,52,124
D-M0GgCnQEpLfwEgDquVAg,4.5,515,7,87,125
jRfdz5voj40P6WS9L54caw,4.0,53968,413,1181,9970
oly8HWl0MtuioFWKPINIFg,3.5,18608,139,498,3561
IeYRnFUquMjehUTwXsZ5Vg,4.0,1291,15,69,170
R13Yzsye39_1StxO0X1Flg,3.5,265,3,26,40
BSlmhfVEsy16C_ZUpcyB8w,4.0,3024,38,175,550
yQoBnikspv_r4Te7SfzlOw,3.5,1471,14,46,183
slndywABScVDVUZYBS56lQ,4.0,7929,37,343,1459
8Gmjirpg6V_a2u0K4In6Iw,3.5,3850,47,148,768
zWmMse__At85rO_ivLcpXA,3.0,1091,12,47,111
1yxoQFeyux1Ig3qqCWKzGA,2.5,740,12,61,134
OAXWfsklsATjpui2C8HilQ,3.0,1054,14,64,175
vdOhxFYPHbCg93iZoTkfnA,4.0,507,6,38,87
tUR9-c9y5J1KA8vi-CX-nQ,4.0,264,4,32,56
_8tGPxBYb4aq3fuhOePTgw,4.0,168,3,64,73
drrQIOQfEwv29L8B6E5_UQ,4.5,1306,10,116,286
JSOaQOtDtG2Ce44tCsKEUw,4.5,125,3,31,36
-pmmu39MjTD0ht6Jjf-gmw,4.0,2185,27,115,444
_ji6oh2RwfOOt0jMznT5wg,4.0,5531,48,212,1116
KVq-1WEJNKK2NqFC7nUoRg,4.5,3995,37,256,911
kdwGeJlYwmqt9X49IG49mQ,4.0,2393,25,156,443
RQ_QaWi1Cc4X6odfGuUGcA,4.0,9106,62,405,1855
7LLKX5vYeItO7kBfbCnl5g,4.0,3521,34,190,748
cg7Pys3TqUBkmXryzGN1Ww,2.5,304,2,39,64
vFJmFFfPVhHkC3bWOeZnNA,4.0,4954,60,203,782
agvoaiqarJmYy6du6IHFdw,2.0,335,3,25,51
Q4D5Zre41GBU8Nu0hq8vQw,3.0,403,3,124,142
BL3SqCfSJuDTNDR9_b9NdQ,3.5,3396,33,139,526
q34vLVEbHPzS0ZUC8XGsVw,2.0,470,5,24,52
GmzpzmxinfLMw5OXQKFEBQ,5.0,34794,245,540,6554
bdTzNQ18wfPbyiXHJKL1dg,4.5,6530,51,245,1150
lut0g04VsYRyblR1Ad-8HA,3.5,9710,87,331,1683
0T0CX-ILJEOuEJnNi1Lu3A,4.0,175,2,28,34
e_eY2EmXhno4qwsZVkWq-Q,2.5,1290,12,92,234
5vKdGeias7HTd3o6qojDFQ,3.5,147,2,19,30
XpNxXmqBKZE5ZHaI-ZgAmw,4.0,2672,18,142,392
-mQrL-pfyacw9jSx4YbSPQ,4.0,976,12,135,208
2VK0NrB3agVOYmpkMKKrsg,4.0,199,4,28,35
JoqrcQuzD3yEvs9KvN82ag,1.5,577,8,60,110
BzvSlUIwB08C-1GK93mQbg,4.0,1615,25,102,289
0R5W3JfCKW_DT6szm-826A,2.0,640,3,56,124
yZiV6fBKOuD7vX0NhpNDjQ,2.5,2773,20,157,490
guCjJhxjlajTJ0rNhFp98Q,4.0,526,3,41,92
7y2Fgu5sdYQrzuJxatXMNg,2.5,2068,18,110,404
GYbCN7JrNHnjhjAIrwrrqw,4.0,3543,45,184,769
4nWKKGZGFc4nWUbJTunMAw,2.5,1432,10,147,321
-g0zVR9LswlUud9m1eFuUQ,4.5,3909,44,160,734
Wi5UEtrgZ7MTCCoJxmDEaA,3.0,3448,43,142,648
JKyWiuPDVJS4hUx-EPAXAA,4.0,12971,92,496,2749
mtQHSFxx35emKstqMxp9Cw,2.5,275,3,18,29
MEraJIKYztC7IOzYwMe86g,3.5,2057,16,124,353
OU6yfyuCzwJZvZFRnTOZzg,4.0,31121,247,646,6018
e5HRYpEIkyrKNR6yA2rnqQ,3.5,234,2,26,43
rXLHlQP_ogFsa1JhHLhkEg,3.5,8256,76,338,1845
7z6y1xm-8UNo35YoDFnpHQ,2.5,1081,9,75,179
LINlXPAeUagT_UL2lCcH0A,4.0,1451,8,74,238
bZReunQUclSYApawpe787g,4.5,1708,17,104,283
gZ3GVh4aER2q6_UdA6fTKw,4.5,3424,47,114,409
M_AvyTDpBCp2f-ON_20JaQ,3.0,477,4,41,83
OJv3-pdokbqhowMmZaeHCg,3.5,1177,6,88,214
PwXG1AyaHQ6QZ6nhn86tVQ,3.5,455,5,69,87
eR7cwYFZDkNqBSSTohNwLw,4.0,4101,53,199,774
uJAhZq0-M9QFdYkaDH8kbQ,3.5,510,9,41,99
OoflKXY2YUso9tlSjHKiqg,3.5,147,3,21,33
_ED-tcE-bsR7oFYWZwvUAQ,4.5,8545,73,563,1710
sKNqTICN-nyn5hRNmPO8tQ,4.0,4263,44,189,725
gmSPwjUcZ5yxIuJzJnpl8A,3.0,2110,21,113,390
NjHwPn2d3TL_xxnheXoSmw,4.5,1263,16,93,182
tHw376pyGkJp1-fvW12oZA,4.0,501,5,76,141
fuhjVvhkQ22j92BTGHEX7A,2.5,551,10,33,72
NOuSa7Yy4yHYKDD0rNod9Q,3.5,8339,76,295,1620
d_8bMNQd0mesbEUeq1U2kQ,4.0,10447,88,342,1884
_GWuXjPNBnO56OaT_daPZQ,3.5,35474,229,787,5857
vJcjhJ9rQP4-T3K_hdAjfg,4.5,2375,32,138,454
yExYqENb4F6qH6kJxTOaSQ,3.5,2367,18,145,476
pPoBiFyTjwPSg3R2Q3AeVQ,3.0,719,7,39,95
FOfhEC6rN23RQaUlsR2byw,3.5,21522,136,456,3354
lC9YZVhQHXHfN9Rkpk8kIA,3.5,5302,45,286,1112
GGyHZtnAA5LBgouB-32ARA,4.0,74789,464,1323,13341
ZFGBKeeEwIhxRFj0RFF1Xw,1.5,699,8,45,112
aHGcI-KGitnGRco_D_I9Ag,2.5,5666,42,195,786
cwAd2nytPLKmABtLXsgpIw,4.0,41903,325,994,8103
S4TWo9X6b3gU6uucj4JN3g,3.5,1932,18,121,328
b4OrcoUNutnriINTyoqhug,4.0,713,4,118,200
H-e74SghEFfIz_TdUS_2KQ,4.0,1030,10,82,202
dfxGnjDhsLCA7B9FQgvTdw,2.5,2154,14,137,397
l9JvQhr9-ktjuFQOnchFmA,4.0,3270,30,203,551
_Ec1KaH6DpX-1NNE8fA55Q,4.0,4310,39,188,828
11_Py0PMSwvnok8K9I3AgA,4.0,9111,102,347,1869
Yg72nmS4epd8gyaXKn2o4A,3.5,5747,41,237,1095
JsbTHeqjJ5W9VPRptV0aLA,4.0,1445,12,83,289
95RAoc1wnt2rs28Wfs6_1Q,3.5,3206,18,128,427
nTfeDYEy9fV4dEc7LMgM2g,2.0,293,1,88,112
eOug4Lp-b5-jrtkoLMQq2g,3.5,208,2,24,35
sIrAwrRPM4KTD6fajS4_fQ,3.5,1577,8,56,138
_wrA7CMbMqcWEDCNghi5cg,2.5,8451,66,351,1539
TW2RhyiFCLN9iV01r7_j5w,3.5,179,3,21,35
fjaMSLUCjCFKdFgq5QiFkA,4.5,1934,25,161,369
6t9AhPny9pkVgkxoP7LqYQ,3.5,1911,9,112,331
_wZTYYL7cutanzAnJUTGMA,3.5,3287,35,174,590
pi6eN2zM9VAR4RjAoFSqzg,3.5,11949,115,376,2011
FcbmXlWUcbrYJeEDKBywEA,3.0,873,4,95,193
oT6K-uJgGLq3FbcQQn3ivQ,3.5,268,3,25,45
uxzYF6A_PLVhIraINJfDbw,3.5,2331,15,179,491
bee_DAFUBI2MzhBytXHGoQ,3.0,1521,8,131,309
xBVvzPw5VYarWUs_uRCQig,4.5,80,3,5,13
lMZIBOyq7S0HUYdGXGdmow,3.0,235,3,16,36
g3WAdIH2ULX6hFI6hOfBWw,3.5,4121,56,154,611
2A1764Mly4f-WEysgPgZFw,3.5,229,4,26,44
hh2lP4_2N-tk_OxmaTf_qA,4.0,26645,149,823,5494
LSoRoX3DDsX8YgqTQpQuTQ,1.5,419,4,26,59
LxxmtHFNZ5S-MyhykoE4Sg,4.0,1592,13,92,297
nbpY3tbPrAksoqOrYwlx7Q,3.5,6151,63,288,1375
TrUPQ6CgVw4CpUuIk-AE2A,3.5,4739,45,181,759
wqOSESjr7ioLSAUOzzhqoQ,3.5,7829,60,270,1230
8tH8kFrvxped0le4beLmeQ,3.0,218,4,9,19
B814vBx8gPrx3qN41MV_uw,4.0,101,1,18,22
e8Gt-GSedFlk32le0ethHQ,4.0,703,5,43,123
wNisE2bH-ab86Qp7sEFukA,4.5,1357,10,88,246
ehpI2R49yR6Yb4PgQeSrnA,2.5,595,7,65,129
lM3q1N0lpxStCLYMCoqGhw,4.0,1119,11,78,185
aX3dNl6iDh4FaSw7-ipvQw,3.5,1781,18,106,370
g-sizDI5AvXJ0W94VVyuqA,4.0,2409,25,171,480
3DUemE_hdk-TwbVj1zlckg,3.5,702,4,68,164
Q19gSL2gPn-v0pOsnANuRA,4.5,2765,12,166,427
6pd0Z40VifMh6ETJrOw_0g,4.0,2519,21,149,480
k2IvgjxKLpj_3iw2NVfe9Q,2.5,934,9,63,179
v1jRhfoNKW4qpLhqhI8ApQ,2.5,695,7,45,127
FtjvnLhh51ZBYEpKAARaFQ,3.0,7298,64,278,1118
tSZ-YjOgclHQaAASoeGEDg,2.0,434,8,25,54
agKdJFimKaicA205CoDYIQ,5.0,386,5,38,92
PGKNUqWf8bbh3SQMcuKvCA,3.5,622,7,184,213
voPFKvVFm7b01xUyJixFYA,4.0,36979,268,1048,7803
1hyJEY-DGD898iN6S-AmtQ,2.5,2384,21,137,455
3l72FflaaeI0tWEAWN3-gQ,3.5,32518,329,616,6225
NYwMTKUPCojSbzAucMCc1Q,4.0,3644,26,191,729
QUl85k7lKTvY1ry0sIoBgA,3.5,237,3,72,82
WhBxWYRj6rycigYqdXY9cA,4.0,52805,444,981,8398
C6lM880c3gEdk_9ZjtKYWA,3.0,1843,13,77,321
30mZ_4EnXX4xVRFkAwcHjA,4.0,4828,58,224,925
sH0gQB4t4kcDxY_MImHqYA,3.5,12258,94,450,2303
BhzKGQ5SzC3quHTv0zF17g,4.5,1209,12,97,276
Abl2L79Xo3RMMxjafaJ6MQ,3.5,836,6,47,107
dlf3VARfcFZfR9_4eab7-Q,3.5,1372,11,142,336
OdetLT5gBDPneWZUfyf7_A,3.5,4786,46,251,797
iMuKfVjInB_WMErhc7rdaQ,2.5,662,6,44,128
HCVht5j_wW17QxlKewYmxw,3.5,688,8,34,116
WjroQezRhqoKmflC9080ew,4.0,273,6,27,57
edC8euBdO5hxRHRs3RIvZg,4.0,723,9,41,109
-0lOuL7RkZQnjAl96dXTvA,3.5,461,4,44,75
TKTiztj5UOz2Na3xw9Hkvg,2.5,1351,11,207,328
z9qPKK_g_zujxZBslGBYIw,1.5,133,2,11,19
OqSiWQHnqYEWCIJLR-BcFw,4.0,284,2,21,36
noX7tQCO-zYkJxVqoZ4u8g,3.5,5634,36,275,1164
LjwXnAjusrwCZGsWV3Ue8Q,2.5,954,10,37,113
UCid2Tas6K4SB9sHO9gQ8w,3.0,13667,132,468,2531
Wjpd2qoOVD2RUGCdjXM_rw,4.5,67,2,27,27
xTXMD6k3QPjiblnFFG3TvQ,3.5,959,11,116,211
3xEB9FyFXolq1b_Qn_BFtg,3.5,28567,227,535,3889
37NiLnR7_gFMvBmYPsoskA,2.5,344,5,35,65
vwdlu-Fhl_TH4txECi1VzA,2.0,1594,15,100,286
2cM1L2ngS5YLR_3APAaxfQ,4.0,258,5,24,46
b5OBIHUqtJNsOCZpwSpUWQ,1.0,102,3,12,19
YZZ25gyX-E7yGVnA97I_sg,3.5,2022,14,138,426
XK2GG_SNfZf2op7VWy6L7g,3.0,1423,9,147,274
yP23rR1T5Q3Z33mol141eg,3.0,1720,11,126,424
HS2mBnsyFqlXrePt8AAWJQ,2.0,2470,17,139,391
0HIOVPAD0NngfT1_zrUh5w,5.0,749,14,72,158
IhDTUAFc2x8U8brTeBAeUQ,4.5,1832,10,136,337
lRhKubuHbjKjEm07o-oxBw,4.0,36,3,4,4
wdbjLbmj_2nfkwFsD4f3gA,1.5,986,5,62,176
2tXpqXexE-rn2iDRutiBXQ,3.5,379,3,38,72
a4cG-ZTiFV-szE0vUrHxdg,3.5,419,6,28,42
Ava5e1hLjDI-lHA_Q8KwSg,4.0,364,5,32,73
-qeubUfFjWg3yA02IFxbKQ,2.0,817,9,62,133
VZUbvO-m-ceuoMPRM3-NrQ,4.0,5589,57,216,954
hQBLiFMHKq7OvsaGCb9AZA,4.0,4839,47,207,857
kS3J2SwkKF4yX1OS5WgO1w,5.0,115,3,9,21
hJ3BUiQg64X7NNgjhIJ9yw,4.0,5396,42,314,1164
F3P2F-IMu9XhVsMU5rVyCw,3.5,3191,34,202,596
OzLBhVzESxUArq0nTxToQw,3.5,136,4,16,25
simnCuMX4OVwIhWaIqL4zA,3.5,7148,74,290,1453
5pB-HQT-LvEdE2Pa5oyxdw,4.5,823,7,80,157
vcZWlI0eHiGwlUfP-5Ov8Q,4.0,26639,240,536,5205
aUb1ulqB4B1y6kQuqRV3cg,3.0,3116,30,178,620
9HZiyUyDcZl5WCA248mAJA,3.5,69,2,29,29
_6MDHQQ-PeUJ9CP-MoKApA,2.5,3276,21,172,622
exyrJvzW0pXIfeWwJwYBvA,4.0,10873,67,389,2181
xI0UZH734lJtm39DbLf-Bw,2.5,14601,110,396,2510
SpDMxYfPhnAhw2SJCdSSSQ,3.5,403,5,32,62
Ldx4Qe_R7w3OlSx3E-z0aA,4.0,1823,24,106,326
2OZtiGEvLfAjfhC18m9Djw,2.5,288,4,24,54
1zgwmE26LtJH5C1mD6MQpw,2.0,542,5,48,110
nBh_r_hseU4fM92-tKaivw,2.5,253,5,20,42
D6sriF-ak-e5D_MTsPc3wg,2.5,134,3,12,17
RjavzMXChoFWdsIZnfs5YQ,4.0,22432,188,639,5273
z2uFdzUyJniU4yysFJvSrQ,2.0,167,3,26,34
JIUlJaFzsBpQ1e5QpILOhw,4.0,1839,18,53,216
7N713OtnkPkS63VrWwtjWw,3.0,512,8,51,99
_nypuc5Ke462rFWKoZ_bDw,4.5,523,5,65,128
e5gB2kDFaodtxMTa53C29g,4.0,9530,98,335,1744
mxeJ0QOXmGPucx8TayGeIw,4.0,3439,46,188,651
A6Jk6xKV3fk-eYSvrZUzww,3.5,1344,9,92,259
JVD3DDVP-Q9ctNrQAIU8Kw,1.5,1003,5,84,223
ClRgYu3vtPcXTjDQd4wa_w,3.0,4137,25,199,752
sgZwUkKSpFQxE2v1hE-hcQ,3.5,9579,96,347,1723
aGbjLWzcrnEx2ZmMCFm3EA,4.0,338583,2269,2339,67363
TSSNmAcPraYae5yprqaEnQ,2.5,1593,20,73,276
FmR45YKqNhwz7wHSzTFl4A,4.5,344,7,25,49
0Wgkqmf1uJB9AmiQK75qHw,3.5,3737,49,192,826
sAbRiVqmxNdjTja_vmnsnA,4.0,30300,186,854,5489
3bdePZRBF5zv1LMjmqp7Cg,4.5,2027,12,136,352
S-fNAS3auvsDkAl3xcByeg,2.0,147,3,11,12
VQaLNiZGuG4OnI4-Wnne3w,2.0,1240,8,110,255
zS756CK9okeMO0awWoGsaw,3.5,4327,39,228,962
PdZj1gylTC5AaTO21eOYcA,1.5,10303,76,261,1616
xk4FO3d4cn3ymMN9uIqNGA,4.5,1431,11,182,353
cZutwhWSjiXOQ9_tPD5k4Q,3.5,147,3,9,16
8aPTQeDYOMNEu907WfflCQ,4.0,6931,79,351,1415
HbUQ_3dlm3uCacmhTEMnuA,4.0,249908,1395,2648,52885
QkVSaXjg5475VD3sZixCZQ,3.5,5302,46,169,827
9XlLE3H3j5Uv0w8V01yomQ,4.0,6323,70,307,1112
-_npP9XdyzILAjtFfX8UAQ,3.0,1876,15,161,463
XDYnLQC8ViZejuCDp4eCwg,4.0,113851,684,1901,24722
-XN4Oi0UCBK7rE3MsSXdqw,4.5,7242,60,324,1414
rEKBr81s19Soh3dYj4bcGQ,3.5,32,3,5,6
cb4YeNdl6MUWis906tzFVQ,4.0,9921,37,490,2206
vlKuU9Jvo88EuaYQodElQw,3.5,3147,12,238,674
Br9o4CNzhwUw4YUHseGA-g,3.5,1025,12,61,195
saDJPEJvnionK0PZwSF9FA,1.5,1103,9,58,180
tg88uNQ_Qeq3zopVmBY5dA,4.0,2698,22,124,508
YSFS4VOR4-cgvijfq6gmxw,3.0,323,4,30,50
KVvudcDpXPEx6SRTNSB9uQ,4.5,3510,33,182,700
M_b7P2IBKY6zyqDmXE1kJA,3.5,23325,174,676,4592
4KwEzJyeuHqna7_A_eeI3g,4.5,36062,238,814,7284
3Gsex5Dyhnoul9l_914MGQ,3.5,3073,43,156,633
UY0bwSVLcBcMTCYbUycdMw,4.0,1106,10,130,253
Jak5p86l1uH0ZJLkarAdfg,4.0,3650,41,166,566
wksfC_Dud9G8GPntOq1CxA,3.0,3255,21,202,656
kKFhTgBPZ02W6zsVB59Ukg,3.5,None,None,None,None
I4L_MJOZsnux3xCU2bLP8Q,3.5,1350,9,85,214
